,Surname,EstimatedSalary,Exited
0,Hargrave,101348.88,1
1,Hill,112542.58,0
2,Onio,113931.57,1
3,Boni,93826.63,0
4,Mitchell,79084.1,0
5,Chu,149756.71,1
6,Bartlett,10062.8,0
7,Obinna,119346.88,1
8,He,74940.5,0
9,H?,71725.73,0
10,Bearce,80181.12,0
11,Andrews,76390.01,0
12,Kay,26260.98,0
13,Chin,190857.79,0
14,Scott,65951.65,0
15,Goforth,64327.26,0
16,Romeo,5097.67,1
17,Henderson,14406.41,0
18,Muldrow,158684.81,0
19,Hao,54724.03,0
20,McDonald,170886.17,0
21,Dellucci,138555.46,0
22,Gerasimov,118913.53,1
23,Mosman,8487.75,0
24,Yen,187616.16,0
25,Maclean,124508.29,0
26,Young,170041.95,0
27,Nebechi,38433.35,0
28,McWilliams,100187.43,0
29,Lucciano,53483.21,0
30,Azikiwe,140469.38,1
31,Odinakachukwu,156731.91,0
32,Sanderson,81898.81,0
33,Maggard,34410.55,0
34,Clements,142033.07,0
35,Lombardo,27822.99,1
36,Watson,114066.77,0
37,Lorenzo,98453.45,0
38,Armstrong,40812.9,0
39,Cameron,178074.04,0
40,Hsiao,70154.22,0
41,Clarke,181297.65,1
42,Osborne,94153.83,0
43,Lavine,194365.76,1
44,Bianchi,158338.39,0
45,Tyler,126517.46,0
46,Martin,119708.21,1
47,Okagbue,117622.8,1
48,Yin,90878.13,0
49,Buccho,194099.12,0
50,Chidiebele,198059.16,0
51,Trevisani,86424.57,0
52,O'Brien,116978.19,0
53,Parkhill,164040.94,1
54,Yoo,40014.76,1
55,Phillipps,113410.49,0
56,Tsao,87107.57,0
57,Endrizzi,45613.75,0
58,T'ien,1643.11,1
59,Velazquez,46775.28,0
60,Hunter,84509.57,0
61,Clark,126494.82,0
62,Jeffrey,178798.13,0
63,Pirozzi,99398.36,0
64,Jackson,92840.67,0
65,Hammond,27758.36,0
66,Brownless,110431.51,0
67,Chibugo,196673.28,0
68,Glauert,113656.85,0
69,Pisano,18203.0,0
70,Konovalova,28373.86,1
71,McKee,33953.87,0
72,Palermo,44203.55,0
73,Ballard,58426.81,0
74,Wallace,145562.4,0
75,Cavenagh,22388.0,0
76,Hu,139161.64,0
77,Read,148210.64,0
78,Bushell,194239.63,0
79,Postle,98301.61,0
80,Buley,171413.66,0
81,Leonard,136458.19,1
82,Mills,26019.59,0
83,Onyeorulu,159235.29,0
84,Beit,1907.66,0
85,Ndukaku,114675.75,0
86,Gant,128643.35,1
87,Rowley,151869.35,0
88,Sharpe,93251.42,1
89,Osborne,156791.36,0
90,Heap,174205.22,1
91,Ritchie,147132.46,0
92,Cole,109614.57,0
93,Capon,172290.61,0
94,Capon,85982.47,0
95,Fiorentini,121277.78,0
96,Graham,64595.25,0
97,Yuille,197276.13,0
98,Allard,99645.04,0
99,Fanucci,6534.18,0
100,Fu,161848.03,0
101,Hung,167162.43,0
102,Hung,41970.72,0
103,Bradley,60536.56,0
104,Dunbabin,177655.68,1
105,Mauldon,30984.59,1
106,Stiger,10054.53,0
107,Parsons,36976.52,0
108,Walkom,71862.79,0
109,T'ang,99449.86,1
110,Eremenko,63082.88,0
111,Rowntree,27231.26,0
112,Thorpe,86797.41,0
113,Chiemela,22994.32,0
114,Fanucci,101300.94,1
115,Ko,74169.13,0
116,Welch,115638.29,0
117,Duncan,31766.3,0
118,Chidozie,199725.39,1
119,Wu,120834.48,0
120,Culbreth,38131.77,0
121,Kennedy,100130.95,0
122,Cameron,141069.88,0
123,Calabresi,198129.36,0
124,Zetticci,183646.41,0
125,Fuller,110265.24,1
126,MacDonald,8636.05,1
127,Piccio,46824.08,1
128,Kennedy,171378.77,0
129,Fernie,167256.35,0
130,He,124226.16,0
131,Kaodilinakachukwu,114935.21,0
132,Cocci,35608.88,0
133,Alekseeva,16459.37,0
134,Chinweike,124411.08,0
135,Arthur,34941.23,0
